# Created by Octave 3.6.4, Thu Aug 28 15:18:04 2014 ART <pedro@lmde-1tb>
# name: ans
# type: sq_string
# elements: 1
# length: 26
/usr/share/octave/packages


# name: datos
# type: matrix
# rows: 24
# columns: 3
91	6	1.75
157	155	1.81
100	279	2.01
208	279	1.96
104	388	2.45
305	0	2.08
330	108	2.07
372	204	2.05
384	282	2.48
422	390	2.60
510	10	1.97
532	93	1.60
614	390	2.42
608	12	1.92
712	117	1.95
718	385	2.39
822	52	1.50
816	248	2.05
923	5	1.81
920	173	1.05
923	385	2.28
1023	87	1.60
1145	3	2.21
1105	380	2.42

